"","lat","lon","PM2.5","date","time","nmonth","ndate","nhour"
"1",24.25,120.559,45,2017-10-01 00:03:08,"00:03:08",10,1,0
"2",24.25,120.559,48,2017-10-02 00:14:02,"00:14:02",10,2,0
"3",24.25,120.559,49,2017-10-03 00:06:44,"00:06:44",10,3,0
"4",24.25,120.559,26,2017-10-04 00:10:46,"00:10:46",10,4,0
"5",24.25,120.559,14,2017-10-05 00:42:56,"00:42:56",10,5,0
"6",24.25,120.559,37,2017-10-06 00:46:01,"00:46:01",10,6,0
"7",24.25,120.559,23,2017-10-07 00:25:22,"00:25:22",10,7,0
"8",24.25,120.559,21,2017-10-08 00:10:44,"00:10:44",10,8,0
"9",24.25,120.559,46,2017-10-09 03:23:56,"03:23:56",10,9,3
"10",24.25,120.559,72,2017-10-10 01:59:55,"01:59:55",10,10,1
"11",24.25,120.559,4,2017-10-12 00:16:42,"00:16:42",10,12,0
"12",24.25,120.559,10,2017-10-13 00:54:30,"00:54:30",10,13,0
"13",24.25,120.559,11,2017-10-14 00:15:53,"00:15:53",10,14,0
"14",24.25,120.559,13,2017-10-15 00:13:42,"00:13:42",10,15,0
"15",24.25,120.559,26,2017-10-16 00:10:26,"00:10:26",10,16,0
"16",24.25,120.559,20,2017-10-17 00:01:03,"00:01:03",10,17,0
"17",24.25,120.559,20,2017-10-18 00:21:11,"00:21:11",10,18,0
"18",24.25,120.559,26,2017-10-19 00:11:45,"00:11:45",10,19,0
"19",24.25,120.559,17,2017-10-20 00:02:02,"00:02:02",10,20,0
"20",24.25,120.559,31,2017-10-21 00:10:28,"00:10:28",10,21,0
"21",24.25,120.559,31,2017-10-22 00:19:00,"00:19:00",10,22,0
"22",24.25,120.559,45,2017-10-23 00:28:14,"00:28:14",10,23,0
"23",24.25,120.559,38,2017-10-24 00:02:24,"00:02:24",10,24,0
"24",24.25,120.559,31,2017-10-25 00:17:26,"00:17:26",10,25,0
"25",24.25,120.559,22,2017-10-26 00:20:11,"00:20:11",10,26,0
"26",24.25,120.559,31,2017-10-27 00:11:02,"00:11:02",10,27,0
"27",24.25,120.559,40,2017-10-28 00:14:04,"00:14:04",10,28,0
"28",24.25,120.559,42,2017-10-29 00:05:40,"00:05:40",10,29,0
"29",24.25,120.559,21,2017-10-30 00:02:55,"00:02:55",10,30,0
"30",24.25,120.559,16,2017-10-31 00:22:48,"00:22:48",10,31,0
"31",24.25,120.559,36,2017-11-01 00:19:44,"00:19:44",11,1,0
"32",24.25,120.559,36,2017-11-02 00:04:57,"00:04:57",11,2,0
"33",24.25,120.559,24,2017-11-03 00:01:47,"00:01:47",11,3,0
"34",24.25,120.559,32,2017-11-04 00:34:06,"00:34:06",11,4,0
"35",24.25,120.559,7,2017-11-05 00:19:14,"00:19:14",11,5,0
"36",24.25,120.559,33,2017-11-06 00:10:18,"00:10:18",11,6,0
"37",24.25,120.559,81,2017-11-07 00:13:41,"00:13:41",11,7,0
"38",24.25,120.559,21,2017-11-08 00:11:06,"00:11:06",11,8,0
"39",24.25,120.559,18,2017-11-09 00:31:45,"00:31:45",11,9,0
"40",24.25,120.559,47,2017-11-10 00:11:20,"00:11:20",11,10,0
"41",24.25,120.559,53,2017-11-11 00:14:35,"00:14:35",11,11,0
"42",24.25,120.559,14,2017-11-12 00:23:03,"00:23:03",11,12,0
"43",24.25,120.559,23,2017-11-13 00:07:36,"00:07:36",11,13,0
"44",24.25,120.559,36,2017-11-14 00:33:51,"00:33:51",11,14,0
"45",24.25,120.559,27,2017-11-15 00:12:43,"00:12:43",11,15,0
"46",24.25,120.559,35,2017-11-16 00:15:38,"00:15:38",11,16,0
"47",24.25,120.559,58,2017-11-17 00:42:38,"00:42:38",11,17,0
"48",24.25,120.559,57,2017-11-18 00:18:27,"00:18:27",11,18,0
"49",24.25,120.559,6,2017-11-19 00:20:11,"00:20:11",11,19,0
"50",24.25,120.559,23,2017-11-20 00:10:29,"00:10:29",11,20,0
"51",24.25,120.559,14,2017-11-21 00:00:20,"00:00:20",11,21,0
"52",24.25,120.559,17,2017-11-22 00:26:00,"00:26:00",11,22,0
"53",24.25,120.559,39,2017-11-23 00:22:07,"00:22:07",11,23,0
"54",24.25,120.559,14,2017-11-24 00:00:49,"00:00:49",11,24,0
"55",24.25,120.559,15,2017-11-25 00:02:26,"00:02:26",11,25,0
"56",24.25,120.559,36,2017-11-26 00:39:49,"00:39:49",11,26,0
"57",24.25,120.559,23,2017-11-27 00:00:02,"00:00:02",11,27,0
"58",24.25,120.559,57,2017-11-28 00:37:47,"00:37:47",11,28,0
"59",24.25,120.559,88,2017-11-29 00:01:03,"00:01:03",11,29,0
"60",24.25,120.559,19,2017-11-30 00:17:15,"00:17:15",11,30,0
"61",24.25,120.559,13,2017-12-01 00:30:42,"00:30:42",12,1,0
"62",24.25,120.559,18,2017-12-02 00:38:23,"00:38:23",12,2,0
"63",24.25,120.559,21,2017-12-03 00:34:14,"00:34:14",12,3,0
"64",24.25,120.559,33,2017-12-04 00:06:53,"00:06:53",12,4,0
"65",24.25,120.559,36,2017-12-05 00:09:47,"00:09:47",12,5,0
"66",24.25,120.559,31,2017-12-06 00:02:11,"00:02:11",12,6,0
"67",24.25,120.559,34,2017-12-07 00:28:05,"00:28:05",12,7,0
"68",24.25,120.559,56,2017-12-08 00:00:51,"00:00:51",12,8,0
"69",24.25,120.559,40,2017-12-09 00:03:23,"00:03:23",12,9,0
"70",24.25,120.559,44,2017-12-10 00:05:16,"00:05:16",12,10,0
"71",24.25,120.559,43,2017-12-11 00:01:58,"00:01:58",12,11,0
"72",24.25,120.559,25,2017-12-12 00:10:45,"00:10:45",12,12,0
"73",24.25,120.559,27,2017-12-13 00:18:50,"00:18:50",12,13,0
"74",24.25,120.559,34,2017-12-14 00:02:55,"00:02:55",12,14,0
"75",24.25,120.559,23,2017-12-15 00:17:22,"00:17:22",12,15,0
"76",24.25,120.559,11,2017-12-16 00:02:01,"00:02:01",12,16,0
"77",24.25,120.559,32,2017-12-17 00:16:40,"00:16:40",12,17,0
"78",24.25,120.559,18,2017-12-18 00:35:22,"00:35:22",12,18,0
"79",24.25,120.559,35,2017-12-19 00:04:56,"00:04:56",12,19,0
"80",24.25,120.559,20,2017-12-20 00:00:58,"00:00:58",12,20,0
"81",24.25,120.559,24,2017-12-21 00:03:11,"00:03:11",12,21,0
"82",24.25,120.559,106,2017-12-22 00:17:57,"00:17:57",12,22,0
"83",24.25,120.559,129,2017-12-23 00:05:08,"00:05:08",12,23,0
"84",24.25,120.559,90,2017-12-24 00:11:17,"00:11:17",12,24,0
"85",24.25,120.559,56,2017-12-25 00:03:32,"00:03:32",12,25,0
"86",24.25,120.559,54,2017-12-26 00:01:49,"00:01:49",12,26,0
"87",24.25,120.559,29,2017-12-27 00:04:22,"00:04:22",12,27,0
"88",24.25,120.559,80,2017-12-28 00:02:26,"00:02:26",12,28,0
"89",24.25,120.559,54,2017-12-29 00:17:45,"00:17:45",12,29,0
"90",24.25,120.559,31,2017-12-30 00:14:21,"00:14:21",12,30,0
"91",24.25,120.559,36,2017-12-31 00:05:01,"00:05:01",12,31,0
